HECHOS_ESTADO_NOMBRE,REGION
Aguascalientes,Centro-Norte
Baja California,Noroeste
Baja California Sur,Noroeste
Campeche,Sureste
Chiapas,Suroeste
Chihuahua,Noroeste
Ciudad de México,Centro-Sur
Coahuila de Zaragoza,Noreste
Colima,Occidente
Durango,Noroeste
Guanajuato,Centro-Norte
Guerrero,Suroeste
Hidalgo,Oriente
Jalisco,Occidente
México,Centro-Sur
Michoacán de Ocampo,Occidente
Morelos,Centro-Sur
Nayarit,Occidente
Nuevo León,Noreste
Oaxaca,Suroeste
Puebla,Oriente
Querétaro,Centro-Norte
Quintana Roo,Sureste
San Luis Potosí,Centro-Norte
Sinaloa,Noroeste
Sonora,Noroeste
Tabasco,Sureste
Tamaulipas,Noreste
Tlaxcala,Oriente
Veracruz de Ignacio de la Llave,Oriente
Yucatán,Sureste
Zacatecas,Centro-Norte
